date,I,S,inc,R,cases,ran_cases,index
1944-07-02,886.547,176325,95.6689,2.22279e+06,76.9652,77.7514,0
1944-07-03,874.972,176362,94.4051,2.22276e+06,75.9485,81.6492,0
1944-07-04,863.533,176399,93.1577,2.22274e+06,74.9449,74.5021,0
1944-07-05,852.232,176438,91.9265,2.22271e+06,73.9544,76.8759,0
1944-07-06,841.067,176478,90.7116,2.22268e+06,72.977,63.909,0
1944-07-07,830.039,176519,89.5128,2.22265e+06,72.0126,74.0394,0
1944-07-08,819.147,176562,88.33,2.22262e+06,71.061,73.5884,0
1944-07-09,808.39,176606,87.1632,2.22259e+06,70.1223,63.4192,0
1944-07-10,797.769,176650,86.0122,2.22255e+06,69.1964,74.5337,0
1944-07-11,787.282,176696,84.877,2.22252e+06,68.2831,67.6045,0
1944-07-12,776.93,176743,83.7575,2.22248e+06,67.3825,71.2897,0
1944-07-13,766.711,176791,82.6535,2.22244e+06,66.4943,68.1449,0
1944-07-14,756.626,176841,81.5649,2.2224e+06,65.6186,66.3814,0
1944-07-15,746.673,176891,80.4917,2.22236e+06,64.7552,64.1439,0
1944-07-16,736.851,176942,79.4337,2.22232e+06,63.904,64.9861,0
1944-07-17,727.161,176994,78.3908,2.22228e+06,63.065,62.2648,0
1944-07-18,717.601,177048,77.3629,2.22223e+06,62.2381,60.2874,0
1944-07-19,708.17,177102,76.3499,2.22219e+06,61.4231,60.9825,0
1944-07-20,698.868,177158,75.3516,2.22214e+06,60.62,59.4035,0
1944-07-21,689.694,177214,74.3679,2.2221e+06,59.8286,61.2704,0
1944-07-22,680.648,177271,73.3987,2.22205e+06,59.0489,54.6052,0
1944-07-23,671.727,177330,72.4439,2.222e+06,58.2807,54.8212,0
1944-07-24,662.931,177389,71.5032,2.22195e+06,57.524,55.8647,0
1944-07-25,654.26,177449,70.5767,2.2219e+06,56.7786,58.9564,0
1944-07-26,645.713,177510,69.6642,2.22184e+06,56.0445,54.0135,0
1944-07-27,637.287,177572,68.7654,2.22179e+06,55.3214,57.3575,0
1944-07-28,628.983,177635,67.8804,2.22174e+06,54.6094,55.9692,0
1944-07-29,620.8,177699,67.0089,2.22168e+06,53.9083,56.2213,0
1944-07-30,612.736,177763,66.1508,2.22162e+06,53.218,50.5141,0
1944-07-31,604.791,177829,65.306,2.22157e+06,52.5384,49.3004,0
1944-08-01,596.963,177895,64.4744,2.22151e+06,51.8693,53.4802,0
1944-08-02,589.251,177962,63.6558,2.22145e+06,51.2107,47.9692,0
1944-08-03,581.654,178030,62.85,2.22139e+06,50.5625,46.7367,0
1944-08-04,574.172,178099,62.0569,2.22133e+06,49.9245,46.1985,0
